
=== TOP 60 PAGES � https://atlantisndt.com 90d ===
page                                                                       clk   impr   ctr%   pos
/ultrasonic-testing-singapore                                                4    232   1.7%  22.9
/tools                                                                       7    228   3.1%   6.3
/blog/ndt-equipment-calibration-and-maintenance-best-practices               0    228   0.0%  12.4
/contact                                                                     2    227   0.9%  13.2
/blog/api-570-piping-inspection-code-requirements                            2    225   0.9%   9.0
/radiographic-testing-singapore                                              2    222   0.9%   9.5
/training-india                                                              5    218   2.3%  18.7
/blog/iso-9712-certification-process-step-by-step-guide                      0    213   0.0%  20.5
/blog/ped-directive-for-european-pressure-equipment                          5    205   2.4%  18.6

=== TOP 60 PAGES � https://ndt-connect.com 90d ===
page                                                                       clk   impr   ctr%   pos
/cost-guide/houston/ultrasonic-testing                                       3    728   0.4%   7.3
/blog/phased-array-ultrasonic-testing-guide                                  1    595   0.2%  51.4
/                                                                            9    386   2.3%  21.6
/cost-guide/dubai/radiographic-testing                                       1    218   0.5%   3.7
/compare/radiographic-testing-vs-phased-array-ut                             0    154   0.0%  10.4
/ndt-services/los-angeles/ultrasonic-testing                                 2    126   1.6%  31.1
/login                                                                       3    100   3.0%  11.2
/compare/ultrasonic-testing-vs-tofd-testing                                  0     89   0.0%  20.1
/ndt-services/houston/radiographic-testing                                   0     85   0.0%  12.0
/ndt-services/indonesia/magnetic-flux-leakage                                1     63   1.6%  35.6
/glossary/a-scan                                                             0     61   0.0%  15.0
/cost-guide/bangalore/phased-array-ut                                        0     56   0.0%   7.3
/ndt-services/san-francisco/power-generation                                 0     52   0.0%  21.1
/about                                                                       1     46   2.2%  10.9
/training/jubail                                                             2     45   4.4%   7.3
/ndt-services/netherlands/magnetic-particle-testing                          0     44   0.0%  42.4
/ndt-services/boston/eddy-current-testing                                    0     39   0.0%  14.2
/ndt-services/singapore/radiographic-testing                                 2     38   5.3%  10.5
/cost-guide/sydney/radiographic-testing                                      1     37   2.7%   8.7
/standards/en-13018                                                          0     36   0.0%   7.1
/glossary/inclusion                                                          0     34   0.0%  37.3
/ndt-services/brisbane/radiographic-testing                                  0     34   0.0%  37.0
/ndt-services/abu-dhabi/ultrasonic-testing                                   0     29   0.0%  42.2
/ndt-services/qatar/phased-array-ut                                          0     26   0.0%  13.3
/ndt-services/nigeria/oil-and-gas                                            0     24   0.0%   7.2
/careers/italy                                                               4     23  17.4%   6.0
/standards/aws-d1-5                                                          1     20   5.0%  12.8
/glossary/calibration-block                                                  0     20   0.0%  12.5
/cost-guide/norway/guided-wave-testing                                       0     19   0.0%   6.6
/ndt-services/london/magnetic-particle-testing                               0     19   0.0%  29.2
/glossary/back-wall-echo                                                     0     18   0.0%  14.2
/cost-guide/egypt/visual-testing                                             0     17   0.0%   4.6
/ndt-services/abu-dhabi/penetrant-testing                                    0     15   0.0%  17.5
/cost-guide/egypt/ultrasonic-testing                                         1     14   7.1%  15.8
/cost-guide/pittsburgh/magnetic-flux-leakage                                 0     13   0.0%   5.9
/ndt-services/pittsburgh/oil-and-gas                                         0     13   0.0%  43.8
/ndt-services/cape-town/ultrasonic-testing                                   1     12   8.3%   8.8
/compare/penetrant-testing-vs-visual-testing                                 0     12   0.0%  22.7
/ndt-services/nigeria/corrosion-mapping                                      0     11   0.0%   6.1
/ndt-services/thailand/radiographic-testing                                  0     11   0.0%   9.1
/compare/radiographic-testing-vs-penetrant-testing                           0     10   0.0%   3.8
/cost-guide/abu-dhabi/magnetic-particle-testing                              0     10   0.0%   2.2
/ndt-services/saudi-arabia/guided-wave-testing                               0     10   0.0%  10.1
/cost-guide/dallas/magnetic-flux-leakage                                     0      9   0.0%   4.6
/ndt-services/boston/radiographic-testing                                    0      9   0.0%   6.1
/ndt-services/dallas                                                         1      8  12.5%   5.1
/cost-guide/beaumont/magnetic-particle-testing                               0      8   0.0%   4.6
/ndt-services/qatar/acoustic-emission-testing                                0      8   0.0%   6.6
/cost-guide/jubail/tofd-testing                                              0      7   0.0%   9.4
/glossary/dead-zone                                                          0      7   0.0%   7.4
/training/brazil                                                             0      7   0.0%   5.0
/cost-guide/philadelphia/magnetic-flux-leakage                               0      6   0.0%   6.5
/cost-guide/thailand/eddy-current-testing                                    0      6   0.0%   7.3
/glossary/echo                                                               0      6   0.0%  22.7
/ndt-services/argentina/corrosion-mapping                                    0      6   0.0%   6.2
/ndt-services/chile/ultrasonic-testing                                       0      6   0.0%   6.8
/ndt-services/spain/ultrasonic-testing                                       0      6   0.0%   4.8
/ndt-services/south-africa/magnetic-particle-testing                         1      5  20.0%   6.6
/cost-guide/egypt/phased-array-ut                                            0      5   0.0%   4.8
/cost-guide/sydney/visual-testing                                            0      5   0.0%   5.2
